,location,name,on_campus,date,time,female_cashier,group_size,payment_type,tip_type,interaction_time,order_type,waited_in_line
67,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:30PM,y,1,contactless,no-tip,13,to-go,n
68,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:31PM,y,1,contactless,no-tip,17,to-go,n
69,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:32PM,y,1,contactless,no-tip,19,to-go,n
70,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:34PM,y,1,contactless,electronic,21,to-go,n
71,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:34PM,y,1,contactless,no-tip,25,to-go,n
72,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:34PM,y,1,contactless,no-tip,22,to-go,n
73,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:35PM,y,1,card,electronic,17,to-go,n
74,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:36PM,y,1,contactless,electronic,23,to-go,n
75,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:36PM,y,1,contactless,no-tip,13,to-go,n
76,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:37PM,y,1,contactless,no-tip,18,to-go,n
77,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:37PM,y,1,contactless,electronic,27,dine-in,n
78,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:38PM,y,1,contactless,electronic,24,to-go,n
79,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:39PM,y,1,contactless,no-tip,29,to-go,n
80,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:40PM,y,1,contactless,electronic,14,to-go,n
81,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:40PM,y,1,contactless,no-tip,15,to-go,n
82,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:40PM,y,1,card,no-tip,16,to-go,n
83,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:40PM,y,1,card,no-tip,19,to-go,n
84,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:41PM,y,1,contactless,no-tip,22,to-go,n
85,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:42PM,y,1,contactless,no-tip,13,to-go,n
86,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:42PM,y,1,contactless,no-tip,24,dine-in,n
87,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:43PM,y,1,contactless,no-tip,23,dine-in,n
88,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:45PM,n,1,contactless,no-tip,37,to-go,n
89,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:45PM,n,1,contactless,no-tip,28,dine-in,n
90,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:46PM,n,1,contactless,no-tip,29,to-go,n
91,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:47PM,n,1,contactless,no-tip,25,to-go,n
92,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:47PM,y,1,contactless,no-tip,21,to-go,n
93,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:47PM,n,1,contactless,no-tip,18,to-go,n
94,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:50PM,n,1,contactless,electronic,20,dine-in,n
95,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:51PM,n,1,contactless,electronic,14,to-go,n
96,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:52PM,y,1,contactless,electronic,18,to-go,n
97,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:55PM,y,1,contactless,no-tip,15,to-go,n
98,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:55PM,n,1,contactless,no-tip,25,dine-in,n
99,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:55PM,n,1,card,no-tip,25,to-go,n
100,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:56PM,y,1,contactless,no-tip,22,to-go,n
101,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:58PM,y,1,contactless,electronic,31,dine-in,n
102,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:59PM,n,1,contactless,no-tip,22,to-go,n
103,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:59PM,y,1,card,no-tip,19,dine-in,n
104,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:02PM,y,1,contactless,no-tip,34,dine-in,n
105,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:02PM,n,1,contactless,no-tip,31,dine-in,n
106,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:03PM,n,1,contactless,no-tip,23,to-go,n
107,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:03PM,y,1,contactless,no-tip,21,to-go,n
108,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:03PM,y,1,contactless,no-tip,22,to-go,n
109,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:05PM,y,1,contactless,no-tip,19,to-go,n
110,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:06PM,y,1,contactless,no-tip,15,to-go,n
111,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:07PM,n,1,contactless,no-tip,15,to-go,n
112,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:07PM,y,1,card,electronic,29,to-go,n
113,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,5:09PM,y,1,contactless,electronic,36,to-go,n
114,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:10PM,n,2,contactless,electronic,15,dine-in,y
115,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:12PM,n,1,contactless,no-tip,26,to-go,y
116,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:16PM,n,1,card,electronic,23,to-go,n
117,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:20PM,n,1,contactless,no-tip,10,dine-in,n
118,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:25PM,n,1,card,no-tip,10,dine-in,n
119,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:26PM,n,1,contactless,no-tip,15,dine-in,n
120,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:34PM,n,1,contactless,electronic,10,dine-in,n
121,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:38PM,n,1,contactless,no-tip,27,to-go,n
122,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:40PM,n,1,card,no-tip,35,to-go,y
123,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:40PM,n,1,contactless,electronic,13,to-go,y
124,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:42PM,n,1,card,no-tip,18,to-go,y
125,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:42PM,n,1,contactless,no-tip,15,dine-in,y
126,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:45PM,n,1,contactless,electronic,31,to-go,y
127,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:47PM,n,1,card,no-tip,15,to-go,y
128,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:48PM,n,1,contactless,electronic,24,dine-in,y
129,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:49PM,n,1,card,no-tip,13,dine-in,y
130,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:50PM,n,1,contactless,no-tip,17,to-go,y
131,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:51PM,n,1,contactless,electronic,12,dine-in,y
132,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:52PM,n,1,card,no-tip,15,dine-in,n
133,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:54PM,n,1,contactless,electronic,20,to-go,n
134,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:55PM,n,1,card,no-tip,26,to-go,y
135,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:56PM,n,1,card,electronic,14,dine-in,y
136,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:57PM,n,3,card,no-tip,19,dine-in,y
137,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:58PM,n,1,contactless,electronic,16,dine-in,y
138,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,1:59PM,n,1,contactless,electronic,11,dine-in,y
139,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:00PM,y,1,card,no-tip,15,to-go,y
140,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:02PM,y,1,card,electronic,17,dine-in,y
141,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:03PM,y,1,card,no-tip,10,dine-in,y
142,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:04PM,y,1,contactless,no-tip,20,to-go,y
143,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:05PM,y,1,contactless,no-tip,14,to-go,y
144,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:06PM,y,2,contactless,electronic,15,to-go,y
145,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:07PM,y,1,contactless,no-tip,14,dine-in,y
146,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:08PM,y,1,contactless,electronic,23,to-go,y
147,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:09PM,y,2,card,no-tip,17,dine-in,y
148,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:10PM,y,1,contactless,electronic,15,dine-in,y
149,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:11PM,y,1,contactless,no-tip,13,dine-in,y
150,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:12PM,y,1,contactless,no-tip,18,to-go,y
151,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:13PM,y,1,card,no-tip,20,to-go,y
152,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:14PM,y,1,card,no-tip,15,dine-in,y
153,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:15PM,n,1,contactless,no-tip,18,to-go,y
154,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:16PM,y,1,contactless,electronic,14,dine-in,y
155,Flavor Full (Price Center UCSD),Alexandro Merida,y,12/4/24,2:17PM,y,1,card,no-tip,10,to-go,y
